"uid","namedLocation","domainID","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion","functionalGroup","dryMass","qaDryMass","remarks","measuredBy"
"3775b524-ebe6-4e3d-82f7-1d1d01164d53","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.OTH","NEON.DOC.001710vE","Other",2.4,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"a601a64b-b75c-4cc3-82b7-e9347f972982","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.WDY","NEON.DOC.001710vE","Woody material",4.12,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"a1bae225-1044-4ec5-97bc-4dfd991b6f2e","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.LVS","NEON.DOC.001710vE","Leaves",0.33,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"63a85ecc-ba32-473a-8510-7bd362cb6038","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.FLR","NEON.DOC.001710vE","Flowers",0.06,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"dc3975e4-015c-43c1-a69f-a45163c10e20","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.NDL","NEON.DOC.001710vE","Needles",0.46,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"10b1aa2d-f880-4733-bdd2-6b91844e14b4","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",1.46,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"8676718f-5db9-4d41-9ea1-b2bbc6505a06","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",0.82,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"88fdc765-1fea-4bf3-aa4a-0a944dd60ee4","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.OTH","NEON.DOC.001710vE","Other",0.3,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"e6a0b0d4-4682-420e-b6b8-8c08a963e3ac","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.FLR","NEON.DOC.001710vE","Flowers",0.05,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"e77a9063-a778-4657-857d-56da9511c5ce","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.LVS","NEON.DOC.001710vE","Leaves",0.02,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"4ed27bd3-4389-4444-baea-1564f740af9d","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.SDS","NEON.DOC.001710vE","Seeds",0.71,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"b72a5ef9-9219-46d7-855b-34ec8b9b09c8","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.WDY","NEON.DOC.001710vE","Woody material",2.88,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"982adbe3-c35c-4383-8174-2fb3a72abd55","BART_044.basePlot.ltr","D01","BART","BART_044","BART_044_410","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART044410.20160406","NEON.LTR.BART044410.20160406.NDL","NEON.DOC.001710vE","Needles",0.41,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"90f68988-9f6f-4d1a-b80a-8da956840990","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.WDY","NEON.DOC.001710vE","Woody material",1.18,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"f2361ad2-7b63-4bf5-98d5-f9255f7cae54","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.SDS","NEON.DOC.001710vE","Seeds",0.1,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"605b951d-31bd-4c88-abd8-1846afb9a59d","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.NDL","NEON.DOC.001710vE","Needles",0.11,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"9268edf7-06e2-4950-a91b-3d187447b956","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.LVS","NEON.DOC.001710vE","Leaves",0.15,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"38edb03f-54b1-4e9f-a967-05de88c740b3","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.OTH","NEON.DOC.001710vE","Other",1.14,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
